sample_name,Species,Genus,Family,Order,Clade,Reference,Sister taxa,tipage_low(mya),tipage_up(mya),node label,age (mya),age range,resource
Fagaceae_Quercus_simulata_yale31,Quercus simulata,Quercus,Fagaceae,Fagales,rosids,Genus Quercus,Genus Quercus,27.82,23.03,,,,
Fagaceae_Quercus_snookensis_13286_florida2,Quercus snookensis ,Quercus,Fagaceae,Fagales,rosids,Genus Quercus,Genus Quercus,33.9,23,,,,
Fabaceae_Robinia_californica_yale32,Robinia californica ,Robinia,Fabaceae,Fabales,rosids,Gliricidia_ehrenbergii-Cylista_preussii,Fabaceae,27.82,23.03,,,,
Arecaceae_Sabalites_sp_yale33,Sabalites sp.,Sabalites,Arecaceae,Arecales,monocots,Astrocaryum_standleyanum-Flabellaria_libigiosa,Arecaceae,55.8,33.9,Arecaceae,237,237.0 - 0.00,paleodb
Sagenopteris philippsii_Pott2017,Sagenopteris philippsii,Sagenopteris,Caytoniaceae,Caytoniales,gymnosperms,Ginkgo_adiantoides-Ginkgo_gardneri,Ginkgoales,161.5,145,,,,
Salicaceae_Salix_ramaleyi_Florissant_CU_0201cu_crop,Salix ramaleyi,Salix,Salicaceae,Rosales,rosids,Genus Salix,Genus Salix,37.2,28.4,Salix,145,145.00 - 0.00,paleodb
Lauraceae_Sassafras_cretaceum_yale34,Sassafras cretaceum,Sassafras,Lauraceae,Laurales,basal angiosperms,Persites_argutus,Persites,100.5,9,,,,
Sphenophyllaceae_Sphenophyllum_majus_mason7,Sphenophyllum majus,Sphenophyllum,Sphenophyllaceae,Sphenophyllales,ferns,Equisetum_telmateia,Equisetaceae,358.9,323.2,,,,
Taeniopteris_elegans_yale35,Taeniopteris elegans,Taeniopteris,NA,Cycadales,gymnosperms,Encephalartos_marumii,Zamiaceae,252,201,,,,
Taeniopteris_glossopteroides_yale36,Taeniopteris glossopteroides,Taeniopteris,NA,Cycadales,gymnosperms,Taeniopteris_elegans,Genus Taeniopteris,252,201,,,,
Taeniopteris_sp_samnoble2,Taeniopteris sp.,Taeniopteris,NA,Cycadales,gymnosperms,Taeniopteris_elegans,Genus Taeniopteris,298.9,272.3,,,,
Thelypteridaceae_Thelypteris cyclosorus_ucmp7,Thelypteris cyclosorus,Thelypteris ,Thelypteridaceae,Polypodiales,ferns,Genus Thelypteris,"Aspleniaceae, Onocleaceae",55.8,48.6,,,,
Thinnfeldia_dutoiti_yale37,Pachypteris dutoiti ,Pachypteris,Umkomasiaceae,Peltaspermales,gymnosperms,Ginkgoites_sp1-Ginkgo_gardneri,Ginkgoales,247.2,237,,,,
Hymenophyllaceae_Thyrsopteris_alata_yale38,Thyrsopteris alata,Thyrsopteris,Thyrsopteridaceae,Cyatheales,ferns,Thyrsopteris_insignis,Cyatheales,121.4,113,,,,
Hymenophyllaceae_Thyrsopteris_insignis_yale39,Thyrsopteris insignis,Thyrsopteris,Thyrsopteridaceae,Cyatheales,ferns,Cyathea_fulva-Hemitelites_longaevus ,Genus Thyrsopteris,121.4,113,,,,
Taxaceae_Torreya_geometrorum_Florissant_CU_0151_crop,Torreya geometrorum,Torreya,Taxaceae,Pinales,gymnosperms,Genus Torreya,Genus Torreya,37.2,33.9,,,,
Triphyllopteris_rarinervis_yale41,Triphyllopteris rarinervis,Triphyllopteris,Sphenopteridae,Filicales,ferns,Asplenium_oblongifolium-Dryopteris_remota,Polypodiales,358,323.2,,,,
Aspleniaceae_Turgofurcillopteris_crenulata_yale42,Turgofurcillopteris crenulata,Turgofurcillopteris,Aspleniaceae,Polypodiales,ferns,Asplenium_oblongifolium,Asplenium,83.6,72.1,,,,
Typhaceae_Typha_latissima_gbif10,Typha latissima,Typha,Typhaceae,Poales,monocots,Genus Typha,Genus Typha,33.9,5.3,,,,
Typhaceae_Typha_lesquereuxi_yale43,Typha lesquereuxi,Typha,Typhaceae,Poales,monocots,Genus Typha,Genus Typha,27.82,23.03,,,,
Ericaceae_Vaccinium_sophoroides_yale44,Vaccinium sophoroides,Vaccinium,Ericaceae,Ericales,asterids,Genus Vaccinium,Genus Vaccinium,33.9,27.82,Vaccinium,66,66.0 - 2.59,paleodb
Rosaceae_Vauquelinia_coloradensis_Florissant_FLFO_006921_crop,Vauquelinia coloradensis,Vauquelinia,Rosaceae,Rosales,rosids,Genus Vauquelinia,Genus Vauquelinia,37.2,33.9,Vauquelinia,48.6,48.6 - 5.33,paleodb
Vitaceae_Vitis_stantoni_yale45,Vitis stantoni,Vitis,Vitaceae,Vitales,rosids,Genus Vitis,Genus Vitis,72.1,66,Vitis,99.6,99.6 - 0.00,paleodb
Williamsoniellaceae_Williamsoniella_sp_MfN_gbif2,Williamsoniella sp.,Williamsoniella,Williamsoniellaceae,Bennettitales,gymnosperms,Anomozamites_gracilis,Anomozamites,252.17,145,,,,
Yabeiella_brackebushiana_yale46,Yabeiella brackebushiana,Yabeiella ,NA,Bennettitales,gymnosperms,Anomozamites_gracilis,Anomozamites,247.2,237,,,,
Yabeiella_mareyesiaca_yale47,Yabeiella mareyesiaca,Yabeiella ,NA,Bennettitales,gymnosperms,Yabeiella_brackebushiana,Genus Yabeiella,247.2,237,,,,
Yabeiella_spatulata_yale48,Yabeiella spatulata,Yabeiella ,NA,Bennettitales,gymnosperms,Yabeiella_brackebushiana,Genus Yabeiella,247.2,237,,,,
Yabeiella_wielandi_yale49,Yabeiella wielandi,Yabeiella ,NA,Bennettitales,gymnosperms,Yabeiella_brackebushiana,Genus Yabeiella,247.2,237,,,,
Zingiberaceae_Zingerberopsis_sp_alberta1,Zingerberopsis sp.,Zingerberopsis,Zingiberaceae,Zingiberales,monocots,Costus_tappenbeckianus-Strelitzia_nicolai,Zingiberaceae,66,56,Zingiberales,83.5,8.5 - 2.58,paleodb
Rhamnaceae_Zizyphus_florissantii_Florissant_CU_0152_crop,Zizyphus florissantii,Zizyphus,Rhamnaceae,Rosales,rosids,Rhamnus_pirifolia-Sageretia_wrightii,"Rhamnus, Condalia",37.2,33.9,Rhamnaceae,112.03,112.03 - 0.00,paleodb
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selaginella-Dryopteris (root tree),429,409.6 - 441.7,timetree.org
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Angiopteris-Dryopteris (ferns),393,336.7 - 393.0,timetree.org
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agathis_lanceolata-Ginkgo_biloba (gymnosperms),390,277.0 - 390.0,timetree.org
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chloranthus_spicatus-Enicosanthum_cupulare (mesangiosperms + magnoliids),149,139.1 - 158.9,timetree.org
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acorus_gramineus-Maianthemum_dilatatum (monocots),134,133.0 - 139.1,timetree.org
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Euptelea_pleiosperma-Clematis_pitcheri (b. eudicot 1),112,104.6 - 135.0,timetree.org
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sabia_paniculata-Banksia_verticiliata (b. eudicot 2),125,119.6 - 137.7,timetree.org
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soyauxia_grandifolia-Sedum_linearifolium (b. eudicot 3),92,91.3 - 105.6,timetree.org
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vitis_wilsonae-Gliricidia_ehrenbergii (rosids 1),117,109.8 - 124.4 ,timetree.org
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aextoxicon_punctatum-Pereskia_aculeata (rosids 2),118,107.7 - 125.0 ,timetree.org
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heisteria_flexuosa-Gaiadendron_punctatum (rosids 3),91,60.5 - 107.8,timetree.org
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Caracasia_tremadena-Baccharis_sergiloides (asterids),111,97.5 - 109.2,timetree.org
